Phenotype	System	New_tissue	Tissue	Number	Interactions	Total	Percentage
UD	Reproductive system	Testis	Testis	14	inter-chrom	491	2,85
UD	Endocrine system	Thyroid	Thyroid	448	< 1Mb	615	72,85
UD	Endocrine system	Thyroid	Thyroid	151	>= 1Mb	615	24,55
UD	Endocrine system	Thyroid	Thyroid	16	inter-chrom	615	2,60
UD	Reproductive system	Uterus	Uterus	73	< 1Mb	97	75,26
UD	Reproductive system	Uterus	Uterus	21	>= 1Mb	97	21,65
UD	Reproductive system	Uterus	Uterus	3	inter-chrom	97	3,09
UD	Reproductive system	Vagina	Vagina	70	< 1Mb	106	66,04
UD	Reproductive system	Vagina	Vagina	23	>= 1Mb	106	21,70
UD	Reproductive system	Vagina	Vagina	13	inter-chrom	106	12,26
UD	Circulatory system	Whole Blood	Whole_Blood	248	< 1Mb	311	79,74
UD	Circulatory system	Whole Blood	Whole_Blood	57	>= 1Mb	311	18,33
UD	Circulatory system	Whole Blood	Whole_Blood	6	inter-chrom	311	1,93
